english	hindi
Devilal	देवीलाल
Deviprasad	देवीप्रसाद
Devjeet	देवजीत
Devkinandan	देवकीनंदन
Devkumar	देवकुमार
Devnarayan	देवनारायण
Devnath	देवनाथ
Devpad	देवपद
Devraj	देवराज
Devrat	देवरत
Devsena	देवसेना
Devvrata	देवव्रता
Devya	देव्या
Dhairya	धैर्य
Dhanajit	धनजीत
Dhananad	धनानाद
Dhananjay	धनंजय
Dhanapati	धनपति
Dhanesh	धनेश
Dhanraj	धनराज
Dhansukh	धनसुख
Dhanush	धनुष
Dhanvant	धनवंत
Dhanvantari	धन्वन्तरी
Dhanvin	धन्विन
Dhanvine	धन्विने
Dharamdeep	धरमदीप
Dharamdev	धरमदेव
Dharamjyot	धरमज्योत
Dharamnishth	धरमनिष्ठ
Dharampreet	धरमप्रीत
Dharamsheel	धरमशील
Dharanidhar	धरनीधर
Dharendra	धरेन्द्र
Dharitree	धारीत्री
Dharma	धर्मा
Dharmachandra	धर्मचंद्रा
Dharmadas	धर्मदास
Dharmadev	धर्मदेव
Dharmaditya	धर्मदित्य
Dharmaketu	धर्मकेतु
Dharmakirti	धर्मकीर्ति
Dharmanand	धर्मानंद
Dharmaraj	धर्मराज
Dharmaveer	धर्मवीर
Dharmender	धरमेंदर
Dharmendra	धर्मेन्द्र
Dharmendu	धर्मेंदु
Dharmesh	धर्मेश
Dharmik	धार्मिक
Dharm-mitra	धर्म-मित्र
Dharmpal	धरमपाल
Dharmpal	धरमपाल
Dharmveer	धर्मवीर
Dharuna	धरुना
Dhaval	धवल
Dhavalachandra	धवालाचंद्रा
Dhawal	धवल
Dheeman	धीमान
Dheemant	धीमंत
Dheer	धीर
Dheeran	धीरण
Dheerandra	धीरन्द्र
Dheerendra	धीरेन्द्र
Dheivamani	धेइवामानी
Dhevan	धेवन
Dhevaneyan	धेवानेयन
Dhikshit	धिक्षित
Dhilan	धिलन
Dhimant	धिमंत
Dhinakar	धिनकार
Dhinanta	धिनंता
Dhipin	धिपीन
Dhiraj	धीरज
Dhiren	धीरेन
Dhirendra	धीरेन्द्र
Dhritiman	ध्रितिमान
Dhrupad	ध्रुपद
Dhruv	ध्रुव
Dhul Fiqaar	धुल फिकार
Dhvanya	ध्वन्या
Dhwani	ध्वनि
Dhyana	ध्याना
Dhyanesh	ध्यानेश
Dhyaneshwar	ध्यानेश्वर
Digambar	दिगंबर
Digamber	दिगम्बर
Digant	दिगंत
Digvastra	दिग्वस्त्र
Digvijay	दिग्विजय
Dikshan	दीक्षण
Dilawar	दिलावर
Dilip	दिलीप
Dilnawaz	दिलनवाज़
Dinakar	दिनकर
Dinanath	दीनानाथ
Dinapati	दिनपति
Dinar	दिनार
Dindayal	दीनदयाल
Dinendra	दिनेंद्र
Dinesh	दिनेश
Dinkar	दिनकर
Dinpal	दिनपाल
Dipen	दिपेन
Dipendu	दिपेन्दु
Dipesh	दीपेश
Diptanshu	दिप्तान्शु
Divakar	दिवाकर
Divit	दिवित
Divyanga	दिव्यांगा
Divyanshu	दिव्यान्शु
Divyendu	दिव्यंदु
Divyesh	दिव्येश
Diya Udeen	दिया उदीन
Dron	द्रोण
Drupad	द्रुपद
Dulal	दुलाल
DuraiMurugan	दुरैमुरुगन
Duranjaya	दुरंज़ाया
Durgadas	दुर्गादास
Durgadutt	दुर्गादुत्त
Durgesh	दुर्गेश
Durijesh	दुरिजेश
Durja	दुर्जा
Durjaya	दुर्जय
Durmada	दुर्मदा
Durvish	दुर्विश
Dushyant	दुष्यंत
Dushyanta	दुश्यंता
Dvimidha	द्विमीधा
Dwaipayan	द्वैपायन
Dwaraka	द्वारका
Dwaraka-das	द्वारका-दास
Dwaraka-nath	द्वारका-नाथ
Dwijaraj	द्विजराज
Dwijendra	द्विजेंद्र
Dwijesh	द्वीजेश
Dyumani	दयुमानी
Dyumna	दयुम्ना
Dyutit	दयुतित
Dadhija	दधीजा
Daksha	दक्षा
Dakshakanya	दक्षकन्या
Dakshata	दक्षता
Dakshayani	दक्षयनी
Dakshina	दक्षिणा
Dalaja	दलज़ा
Damayanti	दमयंती
Damini	दामिनी
Damyanti	दमयंती
Darika	दारिका
Darpana	दर्पना
Darpanika	दर्पनिका
Darshana	दर्शना
Darshini	दर्शीनी
Daya	दया
Dayamayee	दयामयी
Dayamayi	दयामयी
Dayanita	दयानिता
Dayita	दयिता
Debanshi	देबन्शी
Deborah	देबोरह
Deeba	दीबा
Deeksha	दीक्षा
Deekshita	दीक्षिता
Deena	दीना
Deepa	दीपा
Deepabali	दीपाबली
Deepakala	दीपकला
Deepal	दीपल
Deepali	दीपाली
Deepamala	दीपमाला
Deepana	दीपाना
Deepanwita	दीपंविता
Deepaprabha	दीपप्रभा
Deepashikha	दीपशिखा
Deepavati	दीपावती
Deepika	दीपिका
Deepitha	दीपिथा
Deepshika	दीपशिका
Deepta	दीप्ता
Deepti	दीप्ति
Deeptikana	दीप्तिकाना
Deeptimoyee	दीप्तिमोयी
Deeta	दीता
Deetya	दीत्या
Deleena	देलीना
Delisha	देलिषा
Demira	देमिरा
Deshna	देशना
Desna	देसना
Devahuti	देवाहुती
Devak	देवक
Devakali	देवकली
Devakanya	देवकन्या
Devaki	देवकी
Devakiri	देवाकिरी
Devalatha	देवलथा
Devalekha	देवालेखा
Devamati	देवमति
Devamayi	देवमयी
Devangana	देवांगना
Devangi	देवांगी
Devani	देवानी
Devanshi	देवान्शी
Devapriya	देवाप्रिया
Devashree	देवाश्री
Devasmitha	देवास्मिथा
Devasree	देवश्री
Deveshi	देवेशी
Devi	देवी
Devika	देविका
Devina	देविना
Devishi	देविशी
Devkanya	देवकन्या
Devki	देवकी
Devmani	देवमणि
Devna	देवना
Devya	देव्या
Devyani	देव्यानी
Dhanalakshmi	धनलक्ष्मी
Dhanapriya	धनाप्रिया
Dhanashri	धनश्री
Dhanishta	धनिष्टा
Dhanvanti	धनवंती
Dhanvi	धन्वी
Dhanya	धन्या
Dhanyata	धन्यता
Dhara	धारा
Dharani	धरनी
Dharini	धारीनी
Dharitri	धारित्रि
Dharmista	धर्मिस्ता
Dharnitha	धरनिथा
Dharti	धरती
Dharuna	धरुना
Dhatri	धात्री
Dheeptha	धीप्त्हा
Dhitha	धिता
Dhithi	धिति
Dhlriti	ध्ल्रीती
Dhriti	धृति
Dhruti	धृति
Dhruva	ध्रुवा
Dhruvi	ध्रुवी
Dhruvika	ध्रुविका
Dhuha	धुहा
Dhuthi	धुथी
Dhuti	धुती
Digambari	दिगम्बरी
Diksha	दीक्षा
Dilber	दिल्बेर
Dilshad	दिल्शाद
Dipali	दिपाली
Dipashri	दिपाश्री
Dipti	दीप्ति
Disha	दिशा
Dishi	दिशी
Dishita	दिशिता
Diti	दिति
Divena	दीवेना
Divija	दिविजा
Divya	दिव्या
Divyana	दिव्यना
Divyanshi	दिव्यंशी
Diya	दिया
Doyel	दोयेल
Draupadi	द्रौपदी
Drisana	द्रिसना
Drishti	द्रिष्टी
Drishya	द्रिश्य
Dristi	द्रिसटी
Druthi	द्रुथी
Druti	द्रुती
Dulari	दुलारी
Durga	दुर्गा
Durva	दूर्वा
Dwipavati	द्विपावती
Dyumna	दयुम्ना
Dyuti	द्युती
Edhas	एधास
Edi	एदी
Ednit	एदनित
Eeshwar	ईश्वर
Egaiarasu	एगैअरासु
Eha	इहा
Ehimay	एहिमाय
Eka	एका
Ekachakra	एकाचक्र
Ekachandra	एकचंद्र
Ekachith	एकाचीत
Ekadant	एकदंत
Ekagrah	एकाग्रह
Ekaksh	एकाक्ष
Ekaksha	एकाक्षा
Ekakshara	एकाक्षर
Ekalavya	एकलव्या
Ekaling	एकलिंग
Ekalinga	एकलिन्गा
Ekambar	एकाम्बर
Ekana	एकना
Ekanath	एकनाथ
Ekanga	एकांगा
Ekani	एकानी
Ekanjeet	एकानजीत
Ekanpreet	एकानप्रीत
Ekansh	एकांश
Ekant	एकांत
Ekapad	एकपद
Ekaraj	एकराज
Ekatan	एकतन
Ekatma	एकात्मा
Ekavir	एकाविर
Ekavira	एकाविरा
Ekayavan	एकयावन
Ekbal	इकबाल
Eklavya	एकलव्य
Eknath	एकनाथ
Ekodar	एकोदर
Ekram	एक्रम
Elango	एलांगो
Elil	ईलिल
Elilarasan	एलीलरासन
Elilarasu	एलीलरासू
Elilvendan	एलीलवेंदन
Ellu	एल्लू
Elumalai	एलुमलाई
Esh	एश
Eshan	एषां
Eshwar	एश्वर
Eshwardutt	ईश्वरदत्त
Etash	एताश
Ettan	एत्तन
Evyavan	एव्यावन
Easmatara	एअस्मतारा
Ecchumati	एच्चुमति
Edha	एधा
Edhitha	एधीथा
Eesha	ईशा
Ehimaya	एहिमाया
Eila	एइला
Eiravati	एईरावती
Eka	एका
Ekaa	एका
Ekadhana	एकाधना
Ekaja	एकज़ा
Ekani	एकानी
Ekanta	एकान्त
Ekantha	एकांता
Ekanthika	एकांतिका
Ekantika	एकान्तिका
Ekaparana	एकपराना
Ekaparnika	एकापर्निका
Ekavali	एकावली
Ekisha	एकिशा
Ekta	एकता
Ela	एला
Elampirai	इलामपिराई
Elavarasi	एलावारसी
Elili	एलीली
Elina	एलीना
Enakshi	एनक्षी
Ereshva	एरेश्व
Esha	एशा
Eshana	एशाना
Eshanika	एशानिका
Eshanya	एशान्य
Eshika	एशिका
Eshita	एशीता
Esita	एसिता
Eta	एता
Fadi	फ़दी
Fadl	फ़द्ल
Fadl Ullah	फ़द्ल उल्लाह
Fahad	फहद
Faisal	फ़ैसल
Faiyaz	फ़ैयाज़
Faiz	फ़ैज़
Faizan	फैजान
Faizeen	फैजीन
Fakhir	फाखिर
Fakhry	फख्री
Falak	फलक
Falgu	फ़ाल्गु
Fanibhusan	फ़निभूसन
Fanindra	फनिंद्र
Fanish	फणीश
Fanishwar	फनिश्वर
Faraz	फ़राज़
Fareed	फरीद
Farhad	फ़रहाद
Farhan	फरहान
Farhat	फ़रत
Farid	फ़रीद
Faris	फ़ारिस
Farooq	फ़ारूक़
Farukh	फ़ारूख़
Fateen	फतीन
Fateh	फ़तेह
Fatik	फतिक
Fawaz	फ़वाज़
Fayaz	फ़याज़
Fidaa	फ़िदा
Firaas	फिरास
Firdaus	फिरदौस
Firoz	फ़िरोज़
Fravash	फ्रवश
Fuad	फ़ुआद
Faatin	फातिन
Faatina	फातिना
Fadheela	फाधीला
Fadhiya	फाधिया
Fadwa	फदवा
Fahamitha	फहमिथा
Faiza	फ़ैज़ा
Fajyaz	फाज्याज़
Falguni	फ़ाल्गुनी
Fareeda	फरीदा
Fareeha	फरीहा
Farha	फरहा
Farhina	फरहिना
Faria	फ़ारिया
Farida	फ़रीदा
Fatima	फातिमा
Fawiza	फावीज़ा
Fawziya	फव्जिया
Fazeela	फजीला
Firaki	फिरकी
Firdoos	फिर्दूस
Firoza	फ़िरोज़ा
Firyal	फिर्याल
Fizza	फिज्ज़ा
Fizzah	फिज्जाह
Foolan	फूलन
Foolwati	फूलवती
Foram	फॉरम
Forum	फॉरम
Fulki	फुलकी
Fullan	फुल्लन
Fullara	फुल्लारा
Fulmala	फूलमाला
Gadhadhar	गधाधर
Gadin	गदीन
Gagan	गगन
Gagandeep	गगनदीप
Gaganjyot	गगनज्योत
Gaganvihari	गगन विहारी
Gagnesh	गग्नेश
Gajadhar	गजाधर
Gajanan	गजानन
Gajanand	गजानंद
Gajbahu	गजबाहू
Gajdant	गजदंत
Gajendra	गजेन्द्र
Gajendranath	गजेंद्रनाथ
Gajinder	गजिंदर
Gajkaran	गज्करण
Gajpati	गजपति
Gajrup	गजरूप
Gajvadan	गजवदन
Gambhir	गंभीर
Ganak	गणक
Ganaka	गानका
Ganapati	गणपति
Ganaraj	गणराज़
Gandesha	गंदेशा
Gandha	गंधा
Gandhar	गंधार
Gandharaj	गंधरज
Gandharv	गन्धर्व
Gandharva	गान्धर्व
Gandhik	गांधिक
Gandira	गंदिरा
Gandiva	गंदिवा
Ganendra	गनेंद्र
Ganesh	गणेश
Gangadatt	गंगदत्त
Gangadhar	गंगाधार
Gangadutt	गंगादुत्त
Gangesh	गंगेश
Gangesha	गंगेशा
Gangeya	गंगेया
Gangol	गंगोल
Ganjan	गंजन
Gannath	गणनाथ
Gannon	गन्नों
Garg	गर्ग
Garisht	गरिष्ट
Garjan	गर्जन
Garud	गरुड़
Gatik	गतिक
Gaurang	गौरांग
Gaurav	गौरव
Gauresh	गौरेश
Gaurikant	गौरिकांत
Gaurinandan	गौरिनंदन
Gaurinath	ग़ौरिनाथ
Gaurish	गौरीश
Gaurishankar	गौरीशंकर
Gaurisuta	गौरिसुता
Gautam	गौतम
Gaveshan	गवेषण
Gavisht	गविष्ट
Gayak	गायक
Gayan	गायन
Geet	गीत
Ghalib	घालिब
Ghalib	घालिब
Ghananand	घनानंद
Ghanashyam	घनश्याम
Ghanendra	घनेंद्र
Ghanshyam	घनश्याम
Ghasaan	घसान
Ghazi	घाज़ी
Ghiyaath	घियाथ
Girdhari	गिरधारी
Giri	गिरी
Giridari	गिरिदारी
Giridhar	गिरिधर
Girijanandan	गिरिजानंदन
Girik	गिरिक
Girilal	गिरिलाल
Girindra	गिरीन्द्र
Giriraj	गिरिराज
Girish	गिरीश
Girivar	गिरिवर
Girvan	गिर्वान
Gitashri	गिताश्री
Gobhil	गोभिल
Gogula	गोगुला
Gokul	गोकुल
Gopal	गोपाल
Gopan	गोपान
Gopesh	गोपेश
Gopi	गोपी
Gopichand	गोपीचंद
Gorakh	गोरख़
Gorakh-nath	गोरख-नाथ
Goral	गोरल
Goswamee	गोस्वामी
Gourishankar	गौरीशंकर
Govardhan	गोवर्धन
Govind	गोविंद
Govinda	गोविंदा
Grahish	ग्राहिश
Granthik	ग्रंथिक
Grihith	गृहित
Grishm	ग्रीष्म
Gudakesha	गुदाकेशा
Gul	गुल
Gulab	गुलाब
Gulal	गुलाल
Gulfam	गुलफाम
Gulshan	गुलशन
Gulzar	गुलज़ार
Gulzarilal	गुलजारीलाल
Guna	गुना
Gunagya	गुनाग्य
Gunaja	गुनाजा
Gunakar	गुनाकर
Gunalan	गुनालन
Gunamay	गुनामय
Gunaratna	गुनारत्ना
Gunayukth	गुनायूक्त
Gunin	गुनीन
Gunina	गुनिना
Gunjan	गुंजन
Gunvant	गुनवंत
Gunwant	गुनवंत
Gupil	गुपिल
Gurbachan	ग़ुरबचन
Gurcharan	गुरचरण
Gurdayal	गुरदयाल
Gurdeep	गुरदीप
Gurdweep	गुरद्वीप
Gurjas	गुरजास
Gurman	गुरमान
Gurmeet	गुर्मीत
Gurmukh	गुरमुख
Gurnam	गुरनाम
Gurnam	गुरनाम
Gurpreet	गुरप्रीत
Gursharan	गुरशरण
Guru	गुरु
Gurubachan	गुरुबचन
Gurucharan	गुरुचरण
Gurudas	गुरुदास
Gurudatt	गुरुदत्त
Gurudeep	गुरुदीप
Gurudutt	गुरुदूत्त
Gurusharan	गुरुशरण
Guruttam	गुरुत्तम
Gurveer	गुरवीर
Gurvinder	गुरविंदर
Gyan	ज्ञान
Gyandev	ज्ञानदेव
Gagana	गगना
Gaganadipika	गगनदीपिका
Gaganasindhu	गगनासिंधू
Gajagamini	गजगामिनी
Gajalakshmi	गजलक्ष्मी
Gajra	गजरा
Ganda	गंदा
Gandha	गंधा
Gandhali	गंधाली
Gandhara	गंधारा
Gandhari	गांधारी
Gandharika	गान्धरिका
Gandhini	गांधिनी
Ganesa	गनेसा
Ganga	गंगा
Gangi	गंगी
Gangika	गंगिका
Gangotri	गंगा
Ganika	गनिका
Ganitha	गणिता
Garati	गरती
Gargi	गार्गी
Garima	गरिमा
Gathika	गाथिका
Gatita	गतिता
Gauhar	गौहर
Gaura	गौरा
Gauri	ग़ौरी
Gaurika	ग़ौरिका
Gautami	गौतमी
Gayana	गायना
Gayanthika	गायंतिका
Gayatri	गायत्री
Gazala	गजाला
Geena	गीना
Geeta	गीता
Geeti	गीति
Geetika	गीतिका
Geshna	गेशना
Ghaada	घादा
Ghaaliya	घालिया
Ghaydaa	घाय्दा
Ghusoon	घुसून
Gina	गिना
Ginni	गिन्नी
Gira	गिरा
Giribala	गिरिबाला
Girija	गिरिजा
Girika	गिरिका
Girisha	गीरिषा
Gita	गीता
Gitali	गिताली
Gitanjali	गीतांजलि
Gitashri	गिताश्री
Gitika	गितिका
Giva	गिवा
Goda	गोदा
Godavari	गोदावरी
Godavri	गोदावरी
Gomati	गोमती
Gomti	गोमती
Gool	गूल
Gopa	गोपा
Gopi	गोपी
Gopika	गोपी
Gorma	गोरमा
Gorochana	गोरॉचना
Gourangi	गौरांगी
Govindi	गोविन्दी
Gowri	गोवरी
Greeshma	ग्रीष्मा
Grhalakshmi	ग्रहलक्ष्मी
Grhitha	ग्रहीता
Grishma	ग्रिष्मा
Guddu	गुडडू
Gudiya	गुड़िया
Gul	गुल
Gulab	गुलाब
Gulika	गुलिका
Gunasundari	ग़ुनसूंदरी
Gunavati	गुनावती
Gunita	गुनिता
Gunitha	गुणिथा
Gunjana	गूंजना
Gunjika	गूंजीका
Gunjita	गूंजीता
Gunnika	गुन्नीका
Gunwanti	गुनवंती
Gurinder	गुरिंदर
Gurjari	गुर्जरी
Gurneet	गुरनीत
Gurpreet	गुरप्रीत
Gyanada	ज्ञानादा
Haady	हादी
Haamid	हामिद
Haani	हानि
Habib	हबीब
Hafiz	हाफ़िज़
Hakesh	हाकेश
Hamid	हामिद
Hamir	हमीर
Hammad	हम्माद
Hamshad	हम्शाद
Hamza	हम्ज़ा
Hans	हँस
Hansaraj	हंसराज
Hanshal	हंशल
Hansin	हंसिन
Hansraj	हंसराज
Hanuman	हनुमान
Hanumant	हनुमंत
Har	हर
Hara	हरा
Harbhajan	हरभजन
Harbinder	हरबिंदर
Harbir	हरबिर
Hardeep	हरदीप
Hardik	हार्दिक
Hareendra	हरीन्द्र
Harekrishna	हरेकृष्ण
Harendra	हरेन्द्र
Haresh	हरेश
Hari	हरी
Hariaksa	हरिअक्सा
Haricharan	हरिचरण
Haridas	हरिदास
Harigopal	हरिगोपाल
Harihar	हरिहर
Harij	हरिज
Harikanth	हरिकांत
Harikrishna	हरिकृष्ण
Harilal	हरिलाल
Harinaksh	हरिनक्ष
Harinarayan	हरिनारायण
Harinder	हरिंदर
Harindra	हरिन्द्र
Harindranath	हरिन्द्रनाथ
Hariom	हरिओम
Hariprasad	हरिप्रसाद
Haripreet	हरिप्रीत
Hariraj	हरीराज
Hariram	हरीराम
Harish	हरीश
Harishankar	हरिशंकर
Harishchandra	हरिश्चंद्र
Harit	हारित
Haritbaran	हरितबारण
Harith	हरित
Harith	हारिथ
Harivansh	हरिवंश
Harivilas	हरिविलास
Harjeet	हरजीत
Harjeet	हरजीत
Harjyot	हरज्योत
Harkrishna	हरकृष्ण
Harman	हरमान
Harmeet	हरमीत
Harmendra	हर्मेंद्र
Haroon	हारून
Haroon	हारून
Harpal	हरपाल
Harpreet	हरप्रीत
Harsh	हर्ष
Harsha	हर्शा
Harshad	हर्शद
Harshal	हर्शल
Harshaman	हर्षमन
Harshavardhan	हर्षवर्धन
Harshil	हर्शिल
Harshit	हर्षित
Harshul	हर्शूल
Harshvardhan	हर्षवर्धन
Harteij	हर्तेइज
Hasan	हसन
Hashim	हाशिम
Hashmat	हशमत
Hasit	हसीत
Hasmukh	हसमुख
Hassan	हास्सन
Hastin	हस्तिन
Hatim	हातिम
Havish	हविष
Haytham	हयथम
Hazrat	हजरत
Heer	हीर
Hem	हेम
Hemachandra	हेमचंद्रा
Hemadri	हेमाद्री
Hemakesh	हेमाकेश
Hemal	हेमल
Hemamdar	हेमंदर
Heman	हेमन
Hemang	हेमांग
Hemanga	हेमांगा
Hemant	हेमंत
Hemaprakash	हेमाप्रकाश
Hemaprasad	हेमाप्रसाद
Hemaraj	हेमराज
Hemavatinandan	हेमावातिनंदन
Hemchander	हेमचंदर
Hemdev	हेमदेव
Hemen	हेमन
Hemendra	हेमेंद्र
Hemendu	हेमेंदु
Hemish	हेमिश
Hemraj	हेमराज
Heramba	हेरंबा
Himachal	हिमाचल
Himadri	हिमाद्री
Himaghna	हिमाघ्ना
Himanish	हिमानिश
Himank	हिमांक
Himanshu	हिमांशु
Himmat	हिम्मत
Himnish	हिमनिश
Hiranmay	हिरंमय
Hiranmaya	हिरंमाया
Hiranya	हिरन्य
Hiranyak	हिरंयक
Hiren	हिरेन
Hirendra	हिरेन्द्र
Hiresh	हिरेश
Hiten	हितेन
Hitendra	हितेन्द्र
Hitesh	हितेश
Houd	हौद
Hriday	हृदय
Hridayanand	हृदयानंद
Hridayanath	हृदयनाथ
Hridayesh	हृदयेश
Hridaynath	हृदयनाथ
Hridik	हृदिक
Hridyanshu	हृद्यांशु
Hriman	हरिमन
Hrishi	ह्रिशी
Hrishikesh	हृषिकेश
Hrithik	ह्रिथिक
Hritish	हृतिश
Humam	हुमाम
Hurditya	हुर्दित्या
Husaam	हुसाम
Hussain	हूसेन
Hussein	हुसैन
Huthayfa	हुथाय्फा
Haadiya	हादिया
Haala	हाला
Habiba	हबीबा
Hadiya	हदिया
Hafiza	हाफ़िज़ा
Haifa	हैफा
Haimavati	हैमवती
Haimi	हैमी
Haleema	हलीमा
Hameeda	हमीदा
Hamsa	हँसा
Hamsini	हम्सिनी
Hana	हना
Hanan	हनान
Haneefa	हनीफा
Hanima	हनीमा
Haniya	हनिया
Hansa	हँसा
Hansamala	हंसमाला
Hansanandini	हन्सनंदिनी
Hansaveni	हंसवेनी
Hansika	हनसीका
Hansini	हंसीनी
Hardipa	हरदिपा
Haribala	हरिबाला
Hariganga	हरिगंगा
Harijatha	हरिजाथा
Harimanti	हरिमंती
Harinakshi	हरिनाक्षी
Harini	हरीनी
Haripriya	हरीप्रिया
Harita	हरिता
Harithi	हरिति
Harmya	हरम्या
Harsha	हर्षा
Harshada	हर्षदा
Harshi	हरषी
Harshini	हर्षीनी
Harshita	हर्षिता
Harshitha	हर्शिथा
Harsika	हर्सिका
Hasanthi	हासंथी
Hasika	हासिका
Hasina	हसीना
Hasita	हसीता
Hasna	हसना
Hasumati	हसूमति
Hatisha	हतिशा
Haya	हया
Hayaam	हयाम
Hayat	हयात
Heena	हर्न्ना
Heerkani	हीरकनी
Hema	हेमा
Hemakshi	हेमाक्षी
Hemal	हेमल
Hemalata	हेमलता
Hemangi	हेमाँगी
Hemangini	हेमांगीनी
Hemani	हेमानी
Hemanti	हेमांति
Hemanya	हेमान्या
Hemaprabha	हेमप्रभा
Hemashri	हेमाश्री
Hemavati	हेमावती
Hemkanta	हेमकांता
Hemlata	हेमलता
Hena	हेना
Henna	हेन्ना
Hera	हेरा
Hessa	हेस्सा
Hetal	हेतल
Hilla	हिल्ला
Hima	हिमा
Himagouri	हिमागौरी
Himaja	हिमाजा
Himani	हिमानी
Hina	हिना
Hind	हिंद
Hinda	हिन्दा
Hindola	हिंदोला
Hira	हीरा
Hiral	हिरल
Hiranmayi	हिरंमयी
Hiranya	हिरन्य
Hiranyadha	हिरन्यधा
Hirkani	हिरकनी
Hita	हीता
Hitaishi	हितैषी
Hiya	हिया
Hiza	हिज़ा
Holika	होलिका
Hoor	हूर
Hooriya	हूरिया
Hradha	ह्राधा
Hradini	ह्रादिनी
Hridya	हृदय
Huda	हुदा
Huma	हुमा
Humaila	हुमैला
Husn	हुस्न
Husna	हुसना
Hyma	ह्य्मा
Ibhanan	ईभानन
Ibhya	इभ्या
Ibraheem	इब्राहीम
Ibrahim	इब्राहिम
Ichaa	इछा
Idaspati	इदस्पति
Idhant	इधांत
Idrees	इदरीस
Idris	इद्रिस
Iesa	इएसा
Iham	ईहम
Ihit	इहीत
Ihsaan	इह्सान
Ihtesham	इहतेषम
Ijay	इजय
Ikram	इक्रम
Ikrimah	इक्रीमः
Ikshan	इक्षण
Ikshu	इक्शु
Ilaiyavan	इलैयावन
Ilamporai	इलाम्पोरई
Ilamurugu	इलामुरुगु
Ilancheliyan	इलान्चेलियाँ
Ilandevan	इलान्देवन
Ilango	इलांगो
Ilanthirayan	इलान्थिरायण
Ilashpasti	इलाश्पस्ती
Ilavalagan	इलावलगन
Ilavarasan	इलवरसन
Ilavenil	इलवेनिल
Ilesh	इलेश
Ilisa	इलिसा
Illiyas	इल्लियास
Ilyas	इल्यास
Imaad	इमाद
Imaad Udeen	इमाद उदीन
Iman	ईमान
Imaran	इमरान
Imraan	इमरान
Imran	इमरान
Imtiaz	इम्तिआज़
Imtiyaz	इम्तियाज़
Inakanta	इनकांता
Inas	इनास
Inbanathan	इंबनाथन
Indeever	इंदीवर
Inderbir	इंदरबीर
Inderjeet	इंदरजीत
Inderpreet	इंदरप्रीत
Inderveer	इंदरवीर
Indivar	इंदिवर
Indra	इंद्रा
Indradatt	इन्द्रदत्त
Indradutt	इन्द्रदुत्त
Indradyumn	इन्द्रदयुम्न
Indrajeet	इन्द्रजीत
Indrajit	इन्द्रजित
Indrakanta	इन्द्रकांता
Indraneel	इंद्रनील
Indrarjun	इन्द्रार्जुन
Indrasen	इन्द्रसेन
Indrasena	इन्द्रसेना
Indrasuta	इन्द्रसुता
Indratan	इन्द्रतन
Indravadan	इन्द्रवदन
Indubhushan	इंदुभूषण
Induhasan	इन्दुहासन
Induj	इन्दुज
Indukant	इन्दुकांत
Indukanta	इन्दुकांता
Indulal	इंदुलाल
Indumal	इन्दुमल
Indumat	इन्दुमत
Indumauli	इन्दुमौली
Indushekhar	इंदुशेखर
Inesh	इनेश
Inganam	इन्गनाम
Iniyavan	ईनियवन
Inoday	इनोदय
Inshaf	इन्शाफ़
Intekhab	इन्तेखाब
Ipsit	इप्सित
Iqbal	इक़बाल
Iraiyavan	इरैयावन
Iraj	इराज
Iravan	इरावन
Iravat	इरावत
Iresh	इरेश
Irfaan	इरफान
Irfan	इरफ़ान
Iri	इरी
Irshaad	इरशाद
Irya	इर्या
Isaam	इसाम
Isaiarasu	इसैअरासु
Isaivalan	ईसैवलन
Isar	इसार
Ish	इश
Is-haaq	इस-हाक
Ishan	ईशान
Ishat	इशत
Ishayu	इशायु
Ishir	इशिर
Ishit	इषित
Ishrat	इशरत
Ishwar	ईश्वर
Ismaael	इस्माएल
Itish	इतीश
Iyad	इयाद
Iyyappan	इय्याप्पन
Izhar	इज़हार
Izz Udeen	इज उदीन
Ibha	ईभा
Ibtihaaj	इब्तिहाज
Idha	इधा
Idhika	इधिका
Idhitri	इधित्री
Idika	इदिका
Iditri	इदित्री
Iha	ईहा
Ihina	इहिना
Ihita	इहिता
Ihitha	इहिता
Ijaya	इजया
Ikraam	इकराम
Iksha	इक्शा
Ikshana	इक्शाना
Ikshita	इक्षिता
Ikshitha	इक्षिथा
Ikshu	इक्शु
Ikshula	इक्शुला
Iksura	इक्सुरा
Ila	इला
Ilampirai	इलंपीरई
Ilavalagi	इलावालागी
Ilavenil	इलावेनिल
Ilhaam	इलहाम
Ilisha	इलिशा
Imani	इमानी
Imtithal	इम्तिथल
Ina	ईना
Inaam	इनाम
Inas	इनास
Inaya	इनाया
Inayat	इनायत
Indali	इन्दाली
Indira	इंदिरा
Indiya	इंडिया
Indrakshi	इन्द्राक्षी
Indrani	इन्द्राणी
Indrasena	इन्द्रसेना
Indratha	इंद्रता
Indrayani	इंद्रयानी
Indrina	इन्द्रिना
Indu	इंदु
Induja	इंदुजा
Indukala	इंदुकला
Indulala	इंदुलाला
Indulekha	इन्दुलेखा
Induleksh	इंदुलेक्ष
Induma	इंदूमा
Indumati	इंदुमती
Indumauli	इन्दुमौली
Indumukhi	इंदुमुखी
Induprabha	इन्दुप्रभा
Inika	ईनीका
Iniya	ईनिया
Inkurali	इन्कुराली
Intisaar	इन्तिसार
Inu	इनु
Ipsa	इप्सा
Ipsita	इप्सिता
Ira	इरा
Iraja	इराजा
Iravati	इरावती
Irit	इरित
Isai	ईसाई
Isha	ईशा
